asset_id,path,source_url,creator,license,proof_path,modifications,approval_status
sm_washer,assets/models/SM_Washer.fbx,original: scripts/GenerateMeshes.py,Game Studio / Codex,Original project asset; no third-party source; project distribution license unset,assets/models/PROVENANCE.md,Procedural Blender mesh; bevels; centered origin; FBX export,original-project
sm_bolt,assets/models/SM_Bolt.fbx,original: scripts/GenerateMeshes.py,Game Studio / Codex,Original project asset; no third-party source; project distribution license unset,assets/models/PROVENANCE.md,Procedural Blender mesh; bevels; centered origin; FBX export,original-project
sm_plate,assets/models/SM_Plate.fbx,original: scripts/GenerateMeshes.py,Game Studio / Codex,Original project asset; no third-party source; project distribution license unset,assets/models/PROVENANCE.md,Procedural Blender mesh; bevels; centered origin; FBX export,original-project
sm_tangle,assets/models/SM_Tangle.fbx,original: scripts/GenerateMeshes.py,Game Studio / Codex,Original project asset; no third-party source; project distribution license unset,assets/models/PROVENANCE.md,Procedural Blender mesh; bevels; centered origin; FBX export,original-project
sm_ring,assets/models/SM_Ring.fbx,original: scripts/GenerateMeshes.py,Game Studio / Codex,Original project asset; no third-party source; project distribution license unset,assets/models/PROVENANCE.md,Procedural Blender mesh; bevels; centered origin; FBX export,original-project
sm_magnetbody,assets/models/SM_MagnetBody.fbx,original: scripts/GenerateMeshes.py,Game Studio / Codex,Original project asset; no third-party source; project distribution license unset,assets/models/PROVENANCE.md,Procedural Blender mesh; bevels; centered origin; FBX export,original-project
sm_tray,assets/models/SM_Tray.fbx,original: scripts/GenerateMeshes.py,Game Studio / Codex,Original project asset; no third-party source; project distribution license unset,assets/models/PROVENANCE.md,Procedural Blender mesh; bevels; centered origin; FBX export,original-project
magnet_audio_pickup_01,assets/audio/pickup_01.wav,Original procedural synthesis; scripts/GenerateAudio.py,Game Studio / Codex audio-designer,Original project asset; no third-party sample or music license,assets/audio/PROVENANCE.md,Deterministic synthesis; filtering; fades; controlled peaks; PCM16 export,original_no_third_party_dependencies
magnet_audio_pickup_02,assets/audio/pickup_02.wav,Original procedural synthesis; scripts/GenerateAudio.py,Game Studio / Codex audio-designer,Original project asset; no third-party sample or music license,assets/audio/PROVENANCE.md,Deterministic synthesis; filtering; fades; controlled peaks; PCM16 export,original_no_third_party_dependencies
magnet_audio_pickup_03,assets/audio/pickup_03.wav,Original procedural synthesis; scripts/GenerateAudio.py,Game Studio / Codex audio-designer,Original project asset; no third-party sample or music license,assets/audio/PROVENANCE.md,Deterministic synthesis; filtering; fades; controlled peaks; PCM16 export,original_no_third_party_dependencies
magnet_audio_latch,assets/audio/latch.wav,Original procedural synthesis; scripts/GenerateAudio.py,Game Studio / Codex audio-designer,Original project asset; no third-party sample or music license,assets/audio/PROVENANCE.md,Deterministic synthesis; filtering; fades; controlled peaks; PCM16 export,original_no_third_party_dependencies
magnet_audio_tug,assets/audio/tug.wav,Original procedural synthesis; scripts/GenerateAudio.py,Game Studio / Codex audio-designer,Original project asset; no third-party sample or music license,assets/audio/PROVENANCE.md,Deterministic synthesis; filtering; fades; controlled peaks; PCM16 export,original_no_third_party_dependencies
magnet_audio_linked_release,assets/audio/linked_release.wav,Original procedural synthesis; scripts/GenerateAudio.py,Game Studio / Codex audio-designer,Original project asset; no third-party sample or music license,assets/audio/PROVENANCE.md,Deterministic synthesis; filtering; fades; controlled peaks; PCM16 export,original_no_third_party_dependencies
magnet_audio_deposit,assets/audio/deposit.wav,Original procedural synthesis; scripts/GenerateAudio.py,Game Studio / Codex audio-designer,Original project asset; no third-party sample or music license,assets/audio/PROVENANCE.md,Deterministic synthesis; filtering; fades; controlled peaks; PCM16 export,original_no_third_party_dependencies
magnet_audio_forge,assets/audio/forge.wav,Original procedural synthesis; scripts/GenerateAudio.py,Game Studio / Codex audio-designer,Original project asset; no third-party sample or music license,assets/audio/PROVENANCE.md,Deterministic synthesis; filtering; fades; controlled peaks; PCM16 export,original_no_third_party_dependencies
